ugonjwa,mahojiano
mafua,"Siwezi kuacha kupiga chafya na pua yangu inatoka kwa kweli. Mimi pia nina baridi sana na uchovu kila wakati, na nimekuwa nikikohoa sana. Homa yangu iko juu sana pia, kama juu ya kawaida."
mafua,"Pua yangu inakimbia sana, na siwezi kuacha kupiga chafya. Kwa kuongezea, mimi huhisi baridi kila wakati, nimechoka, na nimekuwa nikikohoa sana. Homa yangu pia iko juu sana kuliko kawaida."
mafua,"Nimekuwa nikipiga chafya bila kukoma na siwezi kutikisa hali hii ya ubaridi. Ninahisi dhaifu na uchovu, na kikohozi changu hakitaisha. Homa yangu iko juu sana"
mafua,"Nimekuwa nikipiga chafya bila kukoma na siwezi tu kupata ubaridi huu kuondoka. Ninahisi dhaifu na nimechoka, na kikohozi changu hakitaisha. Joto langu ni la juu sana."
mafua,Ninapiga chafya mara kwa mara na mwili wangu unatetemeka kutokana na baridi. Nimechoka sana nashindwa kusogea na kichwa kinaniua. Homa yangu iko kwenye paa
mafua,"Ninapiga chafya mara kwa mara, na ubaridi unafanya mwili wangu kutetemeka. Nimechoka sana hivi kwamba siwezi kusonga, na kichwa kinaniuma. Homa yangu iko juu sana."
mafua,"Nimekuwa nimechoka sana na mgonjwa. Ninapiga chafya bila kukoma na nina baridi sana. Kichwa changu kinapiga, na sina nguvu. Zaidi ya hayo, nina homa kali sana na ninahisi kama nina moto."
mafua,"Nimekuwa nikihisi uchovu na mgonjwa sana. Nimekuwa nikipiga chafya sana na sionekani kupata joto. Nimechoka sana na kichwa kinaniua. Na homa yangu iko juu sana, kana kwamba ninachemka."
mafua,"Nimekuwa nimechoka sana na mgonjwa. Koo langu limekuwa chungu sana, na nimekuwa na kikohozi kibaya sana. Nina baridi nyingi na halijoto ya juu sana. Kuhisi tu kudhoofika sana na dhaifu"
mafua,"Nimekuwa nimechoka sana na mgonjwa. Nimekuwa nikipiga chafya sana na ninatatizika kupata joto. Nimechoka sana, na kichwa kinaniuma. Na ninahisi kama ninachemka na joto langu la juu."
mafua,Siwezi kuacha kupiga chafya na ninahisi uchovu na uchungu sana. Koo langu linauma sana na nina vitu vingi vya bunduki kwenye pua yangu na koo. Shingo yangu inahisi kuvimba na kuvuta pia.
mafua,"Siwezi kuacha kupiga chafya, na nimechoka na mgonjwa. Koo langu halifurahii sana, na kuna takataka nyingi kwenye pua yangu na koo. Shingo yangu pia imevimba na imevimba."
mafua,"Ninaendelea kupiga chafya, na nina huzuni na nimechoka. Nina vitu vingi vya gunky kwenye pua yangu na koo, na koo langu linauma sana. Shingo yangu pia inahisi kuvimba na kuvimba."
mafua,Nimekuwa nikihisi kuishiwa nguvu na kuumwa na tumbo langu. Nimekuwa na kikohozi kibaya sana na koo limeniuma sana. Nimepata shinikizo kubwa la sinus na pua iliyojaa. Sifurahii na nimechoka sana.
mafua,Nimekuwa nikipiga chafya sana na nahisi uchovu na mgonjwa sana. Pia kuna vitu vichafu vinatoka puani mwangu na koo langu linahisi mikwaruzo. Na shingo yangu pia inahisi kuvimba.
mafua,"Nimekuwa nikipumua sana na kwa ujumla ninahisi mgonjwa na nimechoka. Koo langu linahisi kukwaruza, na mambo mengi mabaya yanatoka puani mwangu. Shingo yangu pia inahisi imevimba."
mafua,"Sinuses zangu huhisi msongamano wa ajabu, na macho yangu ni mekundu mfululizo. Mara kwa mara ninahisi uchovu na uchovu. Kwa kuongeza, nina phlegm nyingi zisizo na wasiwasi kwenye koo langu. Node zangu za limfu huhisi kuvimba, na kupumua kumekuwa na changamoto."
mafua,Macho yangu yamekuwa mekundu sana na sinuses zangu zinahisi msongamano. Sina nguvu na koo langu limekuwa likiuma sana. Pia nimeona lymph nodes zangu zimevimba na nimekuwa nikikohoa kohozi nyingi.
mafua,"Sinuses zangu zinahisi kujaa, na macho yangu yamekuwa mekundu kabisa. Ninakosa nguvu, na koo langu limekuwa na mikwaruzo sana. Pamoja na uvimbe kwenye nodi zangu za limfu, pia nimekuwa nikikohoa kohozi nyingi."
mafua,"Macho yangu huwa mekundu na kuwasha kila wakati, na pua yangu inahisi kuwa na msongamano na msongamano. Ninahisi tu mgonjwa na uchovu kila wakati, na ninaendelea kukohoa kila kitu. Koo langu linauma na kukwaruza, na nimegundua kuwa matuta kwenye shingo yangu ni makubwa kuliko kawaida."
mafua,"Pua yangu daima huhisi kujaa na msongamano, na macho yangu huwa mekundu na kuwasha kila wakati. Nina hisia ya kutokuwa sawa na uchovu, na ninaendelea kuvinjari bunduki hii. Nina mikwaruzo, koo iliyowashwa, na nimeona kwamba matuta ya shingo yangu ni makubwa kuliko kawaida."
mafua,"Ninaendelea kupiga chafya, na macho yangu hayaachi kuchuruzika. Ni ngumu sana kwangu kupumua kwa sababu ninahisi kama kuna kitu kimenaswa kwenye koo langu. Mara nyingi mimi huhisi uchovu, na hivi karibuni, nimekuwa na phlegm nyingi. Zaidi ya hayo, nodi zangu za limfu hupanuliwa."
mafua,Macho yangu ni mekundu na majimaji kila wakati. Pia nimekuwa na shinikizo hili katika dhambi zangu ambazo hazitaondoka. Huwa nahisi uchovu na nimekuwa nikipata shida sana kupumua. Pia nimekuwa na gunk nyingi kwenye koo langu na nodi zangu za lymph zimevimba.
mafua,"Macho yangu huwa mekundu na yanatoka mara kwa mara. Mkazo unaoendelea katika sinuses zangu pia umekuwa ukinisumbua. Nimekuwa nikipata shida nyingi kupumua na kuhisi uchovu kila wakati. Kwa kuongeza, nina kamasi nyingi za koo na lymph nodes zilizowaka."
mafua,"Pua yangu inahisi kuziba kabisa, na macho yangu huwa mekundu sana na yanatoka mara kwa mara. Isitoshe, kifua kinaniuma na nimekuwa nikipata matatizo mengi ya kupumua. Kwa kuongeza, misuli yangu huhisi maumivu kabisa, na siwezi kunusa chochote."
mafua,"Macho yangu kawaida ni mekundu na yanatoka maji, na pua yangu huwa imeziba kila wakati. Pia nimekuwa nikipata shida kupumua na kifua kinauma. Kwa kuongezea, siwezi kunusa chochote na misuli yangu inauma sana."
mafua,"Macho yangu huwa mekundu na yamevimba, na nina hisia kwamba kuna kitu kinaziba sinuses zangu. Nimekuwa nikikohoa kwa bunduki nyingi, na kifua kinauma. Siwezi kunusa chochote, na misuli yangu inauma."
mafua,"Macho yangu huwa mekundu na yamevimba kila wakati, na ninahisi kama kuna kitu kinazuia sinuses zangu. Nimekuwa nikikohoa sana na kifua changu kinahisi kizito sana. Siwezi kunusa chochote na misuli yangu inauma sana"
mafua,"Nimekuwa nikikohoa sana na kuhisi baridi na kutetemeka. Pua yangu imeziba kabisa, na ninakabiliwa na shinikizo la uso. Pia nina kohozi nyingi, na kukohoa huumiza kifua changu. Siwezi kunusa chochote, na misuli yangu inauma."
mafua,"Kwa siku nyingi, nimekuwa na kikohozi kibaya na baridi. Sinuses zangu zimefungwa, na nina shinikizo la uso. Pia nimekuwa nikitengeneza phlegm, na kukohoa kunaniumiza kifuani. Siwezi kunusa chochote, na misuli yangu inauma."
mafua,"Nimekuwa na kikohozi kibaya na baridi kwa siku kadhaa. Sinuses zangu zimejaa, na nina shinikizo la uso. Pia nimekuwa nikikohoa kamasi, na inaumiza kifua changu. Siwezi kunusa chochote na misuli yangu inauma."
mafua,"Kikohozi changu na baridi vimekuwa mbaya kwa siku. Sinuses zangu ni msongamano, na uso wangu ni chini ya mkazo. Zaidi ya hayo, nimekuwa nikikohoa phlegm, na huumiza katika kifua changu. Sina hisia ya harufu, na misuli yangu inauma sana."
mafua,"Ninakohoa bila kukoma na ninatetemeka sana. Nina pua iliyoziba na uso wangu una mkazo. Kwa kuongeza, koo langu linakohoa bunduki mbaya, na kifua changu kinauma. Misuli yangu inauma sana, na siwezi kunusa chochote."
mafua,Siwezi kuacha kukohoa na nahisi baridi sana. Sinuses zangu zote zimeziba na nina kamasi nyingi. Kifua kinaniuma na siwezi kunusa chochote. Misuli yangu pia inauma sana.
mafua,"Ninakohoa bila kukoma na nina baridi sana. Utoaji wa kamasi wangu ni mwingi, na sinuses zangu zimefungwa kabisa. Siwezi kunusa chochote, na kifua changu kinauma. Misuli yangu pia inauma sana."
mafua,"Siwezi kuacha kukohoa na ninaganda. Sinuses zangu zimezuiliwa kabisa, na nimefunikwa na mucous. Kifua changu kinauma, na siwezi kunusa chochote. Misuli yangu pia inauma sana."
mafua,"Nimekuwa nikikohoa sana na kupata shida kupumua. Koo langu linaniuma na ninahisi kuwa nina kohozi nyingi kwenye kifua changu. Pua yangu imekuwa ikikimbia sana, na nimekuwa nikihisi msongamano mkubwa."
mafua,"Nimekuwa nimechoka sana na mgonjwa. Koo langu limekuwa chungu sana, na nimekuwa na kikohozi kibaya sana. Nina baridi nyingi na halijoto ya juu sana. Kuhisi tu kudhoofika sana na dhaifu"
mafua,"Nimekuwa nikipata uchovu mwingi na hisia mbaya. Koo langu limekuwa chungu sana na nimekuwa na kikohozi kikali sana. Pua yangu imeziba sana, na nimekuwa na shinikizo kubwa la sinus. Kwa kweli nina huzuni na nimechoka sana."
mafua,Nimekuwa nikihisi mgonjwa sana na nimekuwa na uchovu mwingi. Nimekuwa na kikohozi kibaya sana na koo langu limekuwa chungu sana. Nimekuwa na shinikizo kubwa la sinus na pua yangu imekuwa na msongamano mkubwa. Ninahisi tu kukimbia chini na huzuni.
mafua,"Nimekuwa nimechoka sana na mgonjwa. Koo langu limekuwa chungu sana, na nimekuwa na kikohozi kibaya sana. Nina baridi nyingi na halijoto ya juu sana. Kwa ufupi, ninahisi kudhoofika na kudhoofika."
mafua,Nimekuwa mchovu na mgonjwa sana. Nimekuwa nikisumbuliwa na kikohozi kikali na koo. Nina baridi nyingi na halijoto ya juu sana. Ninahisi tu uchovu na kukimbia chini.
mafua,"Siwezi kuacha kupiga chafya, na pua yangu inakimbia. Pia mimi huwa na baridi kali na nimechoka, na nimekuwa nikikohoa sana. Homa yangu pia iko juu sana, kuliko kawaida."
mafua,"Nimekuwa nikihisi vibaya sana, na msongamano mwingi na pua inayotiririka. Nimekuwa nikikohoa sana na kuwa na maumivu mengi ya kifua. Homa yangu imekuwa juu sana, na nimekuwa nikipata usumbufu mkali wa misuli."
mafua,"Shingo yangu imevimba, na nimechoka. Koo langu lina mikwaruzo, na macho yangu yanawaka nyekundu. Pua yangu imefungwa sana, na nina shinikizo la uso. Kifua changu kinauma, na siwezi kunusa chochote."
mafua,"Ninakosa nguvu na ninahisi kama shingo yangu imevimba. Macho yangu ni mekundu, na koo langu linahisi mikwaruzo. Nina msongamano mkubwa puani mwangu, na uso wangu uko chini ya shinikizo. Siwezi kunusa chochote, na kifua changu kinauma."
mafua,"Ninahisi dhaifu sana, na nodi za lymph zimepanuliwa. Macho yangu yanawaka, na koo langu linauma. Sinuses zangu ziko chini ya mkazo, na pua yangu imejaa. Siwezi kunusa chochote, na kifua changu kinauma."
mafua,"Nimekuwa na kikohozi cha kutisha na baridi kwa siku kadhaa. Uso wangu umechoka na sinuses zangu zimeziba. Kwa kuongeza, kifua changu kinauma kutokana na phlegm ambayo nimekuwa nikikohoa. Siwezi kunusa, na misuli yangu ina maumivu makali."
mafua,"Nina macho mekundu, machozi kila wakati. Sinuses zangu pia zimesumbuliwa na kukazwa mara kwa mara. Kupumua kwangu kumekuwa ngumu sana, na nimekuwa nikihisi kuchoka kila wakati. Node zangu za lymph huwashwa, na pia nina koo nyingi za koo."
mafua,"Mimi huwa na macho ya moto, yenye uvimbe na hisia kwamba kuna kitu kinazuia sinuses zangu. Kifua changu kinahisi kizito sana, na nimekuwa nikikohoa kwa bunduki nyingi. Sina hisia ya harufu, na misuli yangu inauma sana."
allergy,"Nina mafua na ninapiga chafya kila wakati. Macho yangu huwashwa na mara nyingi huwa na maji, na ninakohoa kila wakati. Kichwa changu kinauma na kila wakati"
allergy,Ninaumwa na koo na ninapiga chafya kila wakati. Wakati mwingine nina uvimbe usoni kama midomo yangu na karibu na macho yangu. Siwezi tu kuacha kupiga chafya mara tu ninapoanza kupiga chafya
allergy,Nina ugumu wa kupumua na upungufu wa pumzi. Ninakohoa bila kudhibiti na kupata macho kuwasha na uvimbe kwenye uso wangu na sehemu zingine za mwili
allergy,Nina msongamano wa pua na pua iliyoziba. Wakati mwingine usiku nina maumivu ya kifua na kubana. Pia nimepoteza hisia yangu ya harufu na ladha
allergy,Nina pumu kama dalili kama vile kukohoa na kupumua kwa shida. Mara nyingi mimi hupata homa na maumivu ya kichwa. Ninahisi uchovu kila wakati
allergy,"Ninahisi uchovu kila wakati, nimepoteza ladha yangu na koo linauma sana. Pia mimi hupata homa na mara nyingi huwa na maumivu ya misuli. Wakati mwingine mwili wangu wote unasisimka tu"
allergy,Nimekuwa nikikosa hamu ya kula na nina shida kumeza chakula. Nimekuwa nikisumbuliwa na koo na pua pia.
allergy,"Ninahisi uchovu kila wakati, na kuwa na hisia ya kuwasha kwenye koo langu. Pia nimekuwa na ngozi nyembamba. Wakati mwingine mimi hupata macho ya kuvimba na wakati mwingine hujivuna pia."
allergy,"Nina maumivu ya tumbo, kichefuchefu na kuhara. Koo langu limevimba, na nina shida ya kupumua. Wakati mwingine usiku ninapata maumivu ya kifua na kichefuchefu."
allergy,Nina ngozi na nyekundu. Wakati mwingine haya husababisha kuvimba. Uso na midomo yangu hujivuna na kusababisha usumbufu mwingi. Mimi hupata macho maji wakati mwingine na maumivu ya kichwa wakati puff inakuwa kali
allergy,"Mara nyingi mimi hupiga chafya na kuwa na pua. Macho yangu yana mikwaruzo na yanatoka mara kwa mara, na mimi hukohoa mara kwa mara. Kichwa changu kinaniuma kila mara."
allergy,"Mara nyingi mimi hupiga chafya na kuwa na koo. Midomo yangu na eneo karibu na macho yangu mara kwa mara huvimba. Mara tu ninapoanza kupiga chafya, siwezi kuacha."
allergy,"Nina shida kupumua na kukosa pumzi. Nina kikohozi kikavu, cha kukatika, macho kuwasha, na uvimbe kwenye uso na mwili wangu wote."
allergy,Nina pua iliyoziba na msongamano wa pua. Mara kwa mara mimi hupata ugumu na usumbufu wa kifua usiku. Pia nimepoteza uwezo wangu wa kuonja na kunusa.
allergy,"Ninapata dalili za pumu, kama vile kupumua na matatizo ya kupumua. Mara nyingi nina maumivu ya kichwa na homa. Wakati wote, ninahisi nimechoka."
allergy,"Huwa najihisi nimechoka, nina ladha mbaya, na kuwa na mikwaruzo kwenye koo. Pia nina maumivu ya misuli na joto. Mwili wangu wote unasisimka mara kwa mara."
allergy,"Nimekuwa nikipoteza hamu ya kula, na pia nina shida kumeza. Pua yangu imekuwa ikikimbia, na nina koo."
allergy,Mimi huwa nimechoka kila wakati na nikipata hisia kwenye koo langu. Pia nimeanza kuwa na ngozi kavu. Macho yangu mara kwa mara huvimba
allergy,"Ninahisi kichefuchefu, kichefuchefu na kizunguzungu. Nina uvimbe wa koo na nina matatizo ya kupumua. Mara kwa mara mimi hupata usumbufu wa kifua na kichefuchefu usiku."
allergy,"Ngozi yangu ni nyekundu na ina mikwaruzo. Hizi zinaweza kutetemeka mara kwa mara. Mashavu na midomo yangu huvimba, ambayo inakera sana. Mara kwa mara nina maumivu ya kichwa na macho yanayotoka kwa sababu ya kuvuta pumzi."
allergy,"Mimi hupiga chafya mara kwa mara, na pua yangu inakimbia. Mimi hukohoa kila wakati, na macho yangu yana uchungu na maji. Kichwa changu kinaniuma kila wakati."
allergy,Nina maumivu ya koo na mara kwa mara hupiga chafya. Wakati mwingine ngozi karibu na macho yangu na midomo yangu huvimba. Siwezi kuacha kupiga chafya mara tu ninapoenda.
allergy,"Nina matatizo ya kupumua na uzoefu wa kupumua. Uso wangu na kiwiliwili vimevimba, macho yangu yanawasha, na nina kikohozi kikavu, cha kukatwakatwa."
allergy,"Nina msongamano wa pua na pua iliyoziba. Wakati fulani, wakati wa usiku, nina ugumu na maumivu ya kifua. Zaidi ya hayo, nimepoteza hisia zangu za ladha na harufu."
allergy,"Ninapata maswala ya kupumua na kupumua, ambayo ni dalili za pumu. Mara kwa mara nina homa na maumivu ya kichwa. Ninahisi kuchoka kila wakati."
allergy,"Sikuzote mimi huhisi nimechoka, nina ladha isiyopendeza kinywani mwangu, na koo linauma sana. Misuli yangu pia ni moto na inauma. Wakati mwingine mwili wangu wote unasisimka tu."
allergy,"Pamoja na kupoteza hamu ya kula, nimekuwa nikipata shida za kumeza. Nina koo, na pua yangu imekuwa ikikimbia."
allergy,Huwa najihisi nimechoka na kuwa na tickle kwenye koo langu. Ngozi yangu pia imeanza kuhisi kavu. Mara kwa mara mimi hupata uvimbe wa macho.
allergy,"Nina kizunguzungu, kichefuchefu, na kutetemeka. Ninatatizika kupumua kwani koo langu limevimba. Wakati fulani, usiku kucha, kifua changu kinauma na ninahisi mgonjwa."
allergy,"Ngozi yangu inakera na kuvimba. Wakati mwingine, wanaweza kuwaka. Midomo na mashavu yangu yanapanuka, na kwa kweli haipendezi. Kwa sababu ya kuvuta pumzi, mara kwa mara nina maumivu ya kichwa na macho yenye unyevu."
allergy,"Pua yangu inakimbia na ninapiga chafya sana. Macho yangu yamelowa na kuumia, na ninakohoa kila wakati. Kichwa changu kinaniuma kila mara."
allergy,"Ninapiga chafya sana na kuwa na koo. Midomo yangu na ngozi inayozunguka macho yangu itavimba mara kwa mara. Mara tu ninapoanza, siwezi kuacha kupiga chafya."
allergy,"Nina matatizo ya kupumua na ninaishiwa na pumzi kwa urahisi. Macho yangu yanauma, nina kikohozi kikavu, cha kukatwakatwa, na uso na mwili wangu umevimba."
allergy,Nina pua iliyoziba na msongamano wa pua. Mara kwa mara mimi hupata ugumu na usumbufu wa kifua wakati wa usiku. Pia nimepoteza uwezo wangu wa kunusa na kuonja.
allergy,"Ninapata matatizo ya kupumua na kupumua, ambayo ni dalili za pumu. Mara nyingi nina maumivu ya kichwa na homa. Nimechoka mfululizo."
allergy,"Siku zote ninahisi nimechoka, nina ladha mbaya kinywani mwangu, na koo langu linawaka sana. Pia moto na chungu ni misuli yangu. Mwili wangu wote unaweza kukakamaa nyakati fulani."
allergy,"Nimekuwa nikipoteza hamu ya kula na kupata shida kumeza. Pua yangu imekuwa ikikimbia, na nina koo."
allergy,Huwa napata msisimko kwenye koo langu na kuhisi uchovu. Ngozi yangu imeanza kuwa kavu pia. Nina edema ya jicho mara kwa mara.
allergy,"Ninahisi kutetemeka, mgonjwa, na kutetemeka. Koo langu limepanuka na kufanya iwe vigumu kwangu kupumua. Mara kwa mara kifua changu kinauma usiku kucha, na mara kwa mara mimi huhisi mgonjwa."
allergy,Ngozi yangu imevimba na inauma. Wanaweza kutetemeka mara kwa mara. Inauma sana mashavu na midomo yangu inapovimba. Mara kwa mara mimi hupata maumivu ya kichwa na macho yenye maji mengi kutokana na kuvuta pumzi.
allergy,"Ninapiga chafya sana na pua yangu inakimbia. Macho yangu yanauma na yana unyevunyevu, na mimi hulia mara kwa mara. Kichwa changu kinaniuma kila wakati."
allergy,"Ninaumwa na koo na kupiga chafya nyingi. Kuna wakati ngozi karibu na macho yangu na midomo yangu huvimba. Ninaona kwamba nikianza, siwezi kuacha."
allergy,"Nina shida ya kupumua na kutoka kwa pumzi kwa urahisi. Uso wangu na kiwiliwili vimevimba, macho yangu yanauma, na nina kikohozi kikavu, cha kukatwakatwa."
